processing_time,total_target_area,total_target_area_length,vert_count,test_type,output_prefix
0.000733852,48.832,155.322,22,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z8100
0.000128984,48.832,155.322,22,naive,ACAM-Base--scaled_outline_mesh0_z8100
0.00132799,48.8301,155.328,22,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z8300
0.000118017,48.8301,155.328,22,naive,ACAM-Base--scaled_outline_mesh0_z8300
0.000527859,48.8284,155.334,22,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z8500
0.00010705,48.8284,155.334,22,naive,ACAM-Base--scaled_outline_mesh0_z8500
0.000863791,48.873,155.324,23,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z8700
0.000135899,48.873,155.324,23,naive,ACAM-Base--scaled_outline_mesh0_z8700
0.0180211,490.96,198.913,52,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z900
0.00360823,490.96,198.913,52,naive,ACAM-Base--scaled_outline_mesh0_z900
0.0028398,37.6217,59.152,39,InwardDistributed,ACAM-Cover--scaled_outline_mesh0_z100
0.000291109,37.6217,59.152,39,naive,ACAM-Cover--scaled_outline_mesh0_z100
0.00086689,98.0489,196.706,38,InwardDistributed,ACAM-Cover--scaled_outline_mesh0_z10100
0.00019598,98.0489,196.706,38,naive,ACAM-Cover--scaled_outline_mesh0_z10100
0.00107408,98.0811,196.706,38,InwardDistributed,ACAM-Cover--scaled_outline_mesh0_z10300
0.000454903,98.0811,196.706,38,naive,ACAM-Cover--scaled_outline_mesh0_z10300
0.00130701,98.0687,196.707,38,InwardDistributed,ACAM-Cover--scaled_outline_mesh0_z10500
0.000174999,98.0687,196.707,38,naive,ACAM-Cover--scaled_outline_mesh0_z10500
0.001755,98.069,196.706,37,InwardDistributed,ACAM-Cover--scaled_outline_mesh0_z10700
0.000169039,98.069,196.706,37,naive,ACAM-Cover--scaled_outline_mesh0_z10700
0.00123,98.0703,196.706,37,InwardDistributed,ACAM-Cover--scaled_outline_mesh0_z10900
0.000212908,98.0703,196.706,37,naive,ACAM-Cover--scaled_outline_mesh0_z10900
0.00123,101.025,171.972,59,InwardDistributed,ACAM-Cover--scaled_outline_mesh0_z1100
0.000365019,101.025,171.972,59,naive,ACAM-Cover--scaled_outline_mesh0_z1100
0.00227904,76.3561,155.877,39,InwardDistributed,ACAM-Cover--scaled_outline_mesh0_z11100
0.000524998,76.3561,155.877,39,naive,ACAM-Cover--scaled_outline_mesh0_z11100
0.00120687,76.3565,155.877,39,InwardDistributed,ACAM-Cover--scaled_outline_mesh0_z11300
0.000210047,76.3565,155.877,39,naive,ACAM-Cover--scaled_outline_mesh0_z11300
0.00220609,76.3573,155.875,39,InwardDistributed,ACAM-Cover--scaled_outline_mesh0_z11500
0.000227928,76.3573,155.875,39,naive,ACAM-Cover--scaled_outline_mesh0_z11500
0.0035789,76.3583,155.879,39,InwardDistributed,ACAM-Cover--scaled_outline_mesh0_z11700
0.000166178,76.3583,155.879,39,naive,ACAM-Cover--scaled_outline_mesh0_z11700
0.000812054,76.362,155.877,39,InwardDistributed,ACAM-Cover--scaled_outline_mesh0_z11900
